Kategori,Şehir,İlçe,Firma Adı,Adres,Açıklama,Telefon,E-posta,Web Sitesi,Latitude,Longitude
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,NL GÜZELLİK VE SAÇ BAKIM HİZMETLERİ,"Osmaniye Mah. Fabrikalar Sok. 1/A Kızıltunca Apt. Bakırköy, İstanbul",,02125705538,nly78@msn.com,Veri yok,40.9929410000000,28.8801650000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,METTA ESTETİK GÜZELLİK SALONU,"Zeytinlik Mah. Fahri Korutürk Cad. Tınaztepe Çrş. B Blok K:1 Dk:31 Bakırköy, İstanbul",,02125710430,mettaestetik@gmail.com,http://mettaestetik.com,40.9795398970660,28.8740026269730
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,PEMPE TÖRPÜ(Cansu Yılmazer),"Cevizlik Mah. İstanbul Cad. 6 D:3 Bakırköy, İstanbul",,02125423543,Veri yok,Veri yok,40.9783360000000,28.8747990000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,MAYA ESTETİK BAKIRKÖY ŞUBESİ(Nihat Dik),"Zeytinlik Mah. Fişekhane Cad. 40 Bakırköy, İstanbul",Estetik Merkezleri,02125336061,bakirkoy@mayaestetik.com,http://www.mayaestetik.com,40.9782110000000,28.8712570000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,PERVİN DİNÇER ÖZEL LZRLINE POLİKLİNİĞİ(Ozan Barış Dinçer),"Zeytinlik Mah. Fişekhane Cad. Halkçı Sok. 1 Marmara Apt. K:3 D:5 Bakırköy, İstanbul",Medikal Estetik Uzmanı,02125710908,pervin-dincer@hotmail.com,Veri yok,40.9784820000000,28.8731740000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,PRONAIL(Hülya Külekci),"Osmaniye Mah. Osmaniye Yolu Çıkmazı Sok. Marmara Forum AVM K:Zemin Bakırköy, İstanbul",,02124666584,Veri yok,Veri yok,40.9977340000000,28.8870810000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,ARZEM GÜZELLİK MERKEZİ- AB GÜZELLİK HİZMETLERİ TİC.LTD.ŞTİ.,"Zuhuratbaba Mah. Hür Sok. 11 D:1 Bakırköy, İstanbul",,02126602322,guzellikarzem@gmail.com,http://www.arzemguzellikmerkezi.com,40.9891579015130,28.8700098134860
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,BİRGÜL ÇOBAN GÜZELLİK MERKEZİ- BİRGÜL ÇOBAN GÜZELLİK SALONU LTD.ŞTİ. (Yasin Akkurt),"Zeytinlik Mah. Fişekhane Cad. 30 Fişekhane Apt. K:4 Bakırköy, İstanbul",,02125404344,Veri yok,Veri yok,40.9955910000000,28.7960230000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,ESTE LINE PLASTİK CERRAHİ VE GÜZELLİK MERKEZİ- ESTE LIFE MEDİKAL SAN.TİC.LTD.ŞTİ. (Taner Korkut),"Kartaltepe Mah. İncirli Cad. Limonçiçeği Sok. 1 Bakırköy, İstanbul",Estetik Merkezleri,02126601242,Veri yok,Veri yok,40.9960900000000,28.8701760000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,BEAUTYDERM GÜZELLİK MERKEZİ- BD GÜZELLİK VE SAĞLIK MERKEZİ TİC.LTD.ŞTİ.,"Zuhuratbaba Mah. İncirli Cad. 41 K:2 Bakırköy, İstanbul",,02125421900,Veri yok,Veri yok,40.9867920000000,28.8719440000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,DERMAME GÜZELLİK MERKEZİ,"Zeytinlik Mah. Cumhuriyetçi Sok. 12 Ekmekçioğlu İş Mrk. D:8 Bakırköy, İstanbul",,05306793230,dermameclinic@gmail.com,http://www.dermamebeauty.com,40.9793970000000,28.8708830000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,PRONAIL GÜZELLİK MERKEZİ(Hatice Özaydınlık),"Şenlikköy Mah. Halkalı Cad. Aqua Florya AVM K:P1 Bakırköy, İstanbul",,02126630016,aquaflorya@pronail.com.tr,http://www.pronail.com.tr,40.9652100000000,28.7986650000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,İKİNCİ BAHAR KUAFÖR(Meral Kılıçoğlu),"Kartaltepe Mah. Buhar Sok. 6/A Mert Apt. Bakırköy, İstanbul",,02125830747,Veri yok,Veri yok,40.9847490000000,28.8771700000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,NOVA MAKRO BEAUTY- NOVA MAKRO GÜZELLİK MERKEZİ HİZMETLERİ TİC.LTD.ŞTİ.,"Zuhuratbaba Mah. İncirli Cad. 115 D:3 Bakırköy, İstanbul",,02126011359,Veri yok,Veri yok,40.9957537237840,28.8697822438660
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,TUĞÇEM GÜZELLİK SALONU(Tuğçe Mucuroğlu),"Zeytinlik Mah. Sporcu Sok. 7 Bakırköy, İstanbul",,02125830044,Veri yok,Veri yok,40.9783250000000,28.8694710000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,MEGA TURİZM- MEGA TURİZM KİMYEVİ MADDELER DIŞ TİC.LTD.ŞTİ.,"Şenlikköy Mah. Çatal Sok. 18 Koçoğlu İş Mrk. Bakırköy, İstanbul",Genel Merkez,02126620792,Veri yok,Veri yok,40.9763600000000,28.8045040000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,NURTEN GÜZELLİK SALONU,"Şenlikköy Mah. Avcılar Sok. 6 Dk:4 Florya, Bakırköy, İstanbul",,02125733501,Veri yok,Veri yok,40.9811670000000,28.7945880000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,DİLENA GÜZELLİK SALONU(Adile Şengül),"Ataköy 7. 8. 9. 10. Kısım Mah. Palmiye Sok. 32 Bakırköy, İstanbul",,02125606094,Veri yok,Veri yok,40.9837970000000,28.8441920000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,EMSAL DOĞAN GÜZELLİK MERKEZİ(Serap Yılmaz),"Zeytinlik Mah. Fişekhane Cad. 34 Ak Apt. Bakırköy, İstanbul",Kaş Kontürü Hizmeti,02125714239,emsaldoganbakirkoy@gmail.com,http://www.proteztirnak.com,40.9782900000000,28.8718860000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,NEMAY SALON- NEMAY GÜZELLİK ESTETİK KOZMETİK TURİZM VE GIDA TİC.LTD.ŞTİ.,"Şenlikköy Mah. Harman Sok. 42 Günöz Sit. A Blok D:3 Florya, Bakırköy, İstanbul",,02126628685,info@nemaysalon.com,http://www.beautyzoneguzellik.com,40.9727950000000,28.8020070000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,MISS FEVZİYE GÜZELLİK MERKEZİ(Fevziye Yüksel),"Zeytinlik Mah. Fazıl Paşa Sok. 16 Arda Apt. Dk:2 Bakırköy, İstanbul",,02125836418,Veri yok,Veri yok,40.9791860000000,28.8697290000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,TİDU GÜZELLİK MERKEZİ(Emine Aydın),"Zeytinlik Mah. Yakut Sok. 3 Bakırköy, İstanbul",,02125435579,Veri yok,Veri yok,40.9790410000000,28.8738610000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,UZMANLAR ESTETİK MERKEZİ- AS MEDİKAL GIDA DIŞ TİC.LTD.ŞTİ.,"Cevizlik Mah. Kırmızı Şebboy Sok. 10 Bakırköy, İstanbul",,02125420542,Veri yok,http://uzmanlartipmerkezi.com.tr,40.9774800000000,28.8769360000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,ÖZEL ELİT POLİKLİNİĞİ- ELİT SAĞLIK HİZMETLERİ TİC.LTD.ŞTİ.,"Osmaniye Mah. Çobançeşme Koşuyolu Blv. 3 Garden Office K:2 Bakırköy, İstanbul",Estetik Merkezleri,4445430,info@elitpoliklinigi.com,http://www.elitpoliklinigi.com,40.9972430000000,28.8872510000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,LAZERİNA GÜZELLİK MERKEZİ(Meral Uzun),"Zeytinlik Mah. Ebuzziya Cad. Bakırköy, İstanbul",,02125713081,Veri yok,Veri yok,40.9764390000000,28.8750280000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,MEDİLAZER LAZER EPİLASYON SAĞLIK HİZMETLERİ LTD.ŞTİ.,"Zeytinlik Mah. Fişekhane Cad. 50 Özlem Apt.K:2 D:9 Bakırköy, İstanbul",,02124663055,Veri yok,Veri yok,40.9781390000000,28.8703200000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,AVEDA ERDEM KIRAMER- ER AZ KUAFÖRLÜK HİZMETLERİ TİC.LTD.ŞTİ.,"Şenlikköy Mah. Halkalı Yolu 93 Aqua Florya AVM K:Zemin Dk:35 Bakırköy, İstanbul",,02125730018,Veri yok,http://www.erdemkiramer.com,40.9652150000000,28.7987310000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,EN GÜZELLİK- EN TURİZM VE GÜZELLİK HİZMETLERİ LTD.ŞTİ.,"Zuhuratbaba Mah. Bestekar Rauf Yekta Sok. 9 Bakırköy, İstanbul",,02125703686,Veri yok,Veri yok,40.9822180000000,28.8690280000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,OSMAN GÜZELLİK SALONU- OSMAN GÜZELLİK SALONU LTD.ŞTİ. (Adnan Ceylan),"Ataköy 7. 8. 9. 10. Kısım Mah. Akrın Çrş. Bakırköy, İstanbul",,02125601727,Veri yok,Veri yok,40.9784740000000,28.8763630000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,MUTLU AYAKLAR AYAK SAĞLIĞI MERKEZİ- MUTLU AYAKLAR GÜZELLİK HİZMETLERİ LTD.ŞTİ.,"Yeşilköy Mah. İstasyon Cad. 17/1 Bakırköy, İstanbul",Ayak Sağlığı Merkezi,02128064637,mutluayaklarr@gmail.com,http://www.mutluayaklar.com.tr,40.9610790000000,28.8245060000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,SALOON MANGA- MANGA GÜZELLİK SALONU SAÇ TASARIMI VE KOZMETİK ÜRÜNLERİ SAN.TİC.LTD.ŞTİ.,"Ataköy 2. 5. 6. Kısım Mah. Rauf Orbay Cad. 2 Dk:1 Bakırköy, İstanbul",,02125606694,Veri yok,Veri yok,40.9763510000000,28.8571350000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,ÖZEL DERMAMED POLİKLİNİKLERİ BAKIRKÖY ŞUBESİ- DERMAMED LAZER EPİLASYON VE ESTETİK TİC.LTD.ŞTİ.,"Zeytinlik Mah. Fişekhane Cad. 34 Ak Apt. D:11 Bakırköy, İstanbul",Estetik Merkezi,02125431030,bakirkoy@dermamed.com.tr,http://www.dermamed.com.tr,40.9780170000000,28.8699500000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,MIAMI SUN SEA(Ayşe Keskin),"Ataköy 7. 8. 9. 10. Kısım Mah. Atrium Çrş. Bakırköy, İstanbul",,02125603044,Veri yok,Veri yok,40.9888511525470,28.8453843234210
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,ESTELITA GÜZELLİK MERKEZİ(Ferhat Bozkurt),"Zeytinlik Mah. Fişekhane Cad. D:7 Bakırköy, İstanbul",,02125710844,Veri yok,http://www.estelitaguzellikmerkezi.com,40.9779240000000,28.8691020000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,CELİNESTA ESTETİK GÜZELLİK- CELİNESTA ESTETİK GÜZELLİK SAN. VE TİC.LTD.ŞTİ.,"Yeşilköy Mah. İstasyon Cad. 29/A Bakırköy, İstanbul",,02126620809,info@celinesta.com,http://celinesta.com,40.9600180000000,28.8235490000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,ESTE BIEN- ESTE BIEN GÜZELLİK SALONU TİC.LTD.ŞTİ.,"Zeytinlik Mah. Fişekhane Cad. Yakutlu Sok. 1 Dk:10 Bakırköy, İstanbul",,02125722233,Veri yok,Veri yok,40.9782223237320,28.8704175681930
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,BAKIRKÖY LAZER MERKEZİ(Nilgün Öztekin),"Zeytinlik Mah. Ebuzziya Cad. Eren İş Merkezi Bakırköy, İstanbul",,02125714461,Veri yok,Veri yok,40.9780700000000,28.8744070000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,MIABELLA GÜZELLİK SALONU- HAKER GÜZELLİK SALONLARI SAN. VE TİC.LTD.ŞTİ. (Özlem Karakılınç),"Cevizlik Mah. Fahri Korutürk Cad. Hallaç Hüseyin Sok. 1 K:3 Bakırköy, İstanbul",Genel Merkez,02125835583,bilgi@miabellaguzellik.com,http://www.miabellaguzellik.com,40.9792810000000,28.8743930000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,PAMUK GÜRBÜZ GÜZELLİK SALONU,"Şenlikköy Mah. Saçı Sok. 7 Peri Apt. D:2 Bakırköy, İstanbul",Lazer Epilasyon Hizmeti,02126630102,Veri yok,Veri yok,40.9676810000000,28.7997400000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,OKTAY AKDAĞ BAYAN KUAFÖRÜ(Oktay Akdağ),"Kartaltepe Mah. Bahçe Saray Sok. 8 Bakırköy, İstanbul",Saç ve Cilt Bakımı,02125612084,Veri yok,Veri yok,40.9953442931890,28.8714644576760
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,MY WORLD GÜZELLİK MERKEZİ(Zinnet Ağbaş),"Zeytinlik Mah. Fahri Korutürk Cad. 30 Şükran İşh. K:5 D:11 Bakırköy, İstanbul",,02126600510,info@myworldguzellik.com,http://www.myworldguzellik.com,40.9799090000000,28.8741960000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,MIE ESTETİK VE GÜZELLİK SALONU(Emine Aytek),"Şenlikköy Mah. Florya Cad. 36 Bakırköy, İstanbul",,02126631791,Veri yok,Veri yok,40.9792750000000,28.7929420000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,DAMLA GÜZELLİK SALONU,"Zeytinlik Mah. Ebu Ziya Cad. Şehit Nusret Sok. 1 Kardeşler Apt. D:1 Bakırköy, İstanbul",,02126610022,damlaguzellik2@gmail.com,Veri yok,40.9751419979530,28.8752824748910
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,LEYLA PINK LOVE(Leila Güngör),"Yeşilköy Mah. Bostan Sok. 17 Bakırköy, İstanbul",,02125740010,Veri yok,Veri yok,40.9591620000000,28.8209570000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,NEKA EPİLASYON VE GÜZELLİK MERKEZİ(Esin Pendar),"Zeytinlik Mah. Fişekhane Cad. 56 Palas Apt. K:4 D:7 Bakırköy, İstanbul",,02125724115,Veri yok,Veri yok,40.9781670000000,28.8700080000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,MVK ESTETİK MERKEZİ(Medeni Volkan Kıyak),"Zeytinlik Mah. Fişekhane Cad. 10 K:1 Bakırköy, İstanbul",Estetik Merkezleri,02125430685,info@mvkestetik.com,http://www.mvkestetik.com,40.9784310000000,28.8737670000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,AMERICAN CENTER GÜZELLİK MERKEZİ(Nazlı Üstev Akgül),"Zeytinlik Mah. Fahri Korutürk Cad. Bakırköy, İstanbul",Kaş ve Dudak Kontürü - Kalıcı Makyaj Hizmeti,02125832424,Veri yok,Veri yok,40.9802110000000,28.8740070000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,ÖZEL EPİDERM POLİKLİNİĞİ- KADIOĞLU SAĞLIK HİZMETLERİ LTD.ŞTİ.,"Zuhuratbaba Mah. İncirli Cad. 9 Bakırköy, İstanbul",,02126600448,epiderm@kadioglusaglik.com,http://www.epidermlazer.com,40.9829030000000,28.8724930000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,BENGÜ GÜZELLİK SALONU(Belgüzar Dolapci),"Şenlikköy Mah. Otlukbeli Sok. Bakırköy, İstanbul",,02126622612,Veri yok,Veri yok,40.9682220000000,28.7993690000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,ORJJE GÜZELLİK SALONU(Tülay Yıldızcan),"Yeşilköy Mah. Akanber Sok. 2 Bakırköy, İstanbul",,02125733537,Veri yok,Veri yok,40.9587140000000,28.8263870000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,SİM GÜZELLİK SALONU(Sabriye Öztürk),"Ataköy 7. 8. 9. 10. Kısım Mah. Defne Sok. 51 Martı Sit. Bakırköy, İstanbul",,02126615355,Veri yok,Veri yok,40.9811110200000,28.8495939600000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,SÜSEN GÜZELLİK SALONU(İsmet Sevim),"Kartaltepe Mah. İncirli Cad. 76 Ferah Apt. D:2 Bakırköy, İstanbul",,02125426511,Veri yok,http://www.susenguzellik.com,40.9905770000000,28.8708580000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,CITYBEAUTY BAKIRKÖY ŞUBESİ- SENAR SOLARYUM HİZMETLERİ SAN. VE TİC.LTD.ŞTİ (Hasan Abbasoğlu),"Zeytinlik Mah. Fişekhane Cad. 40 Konuk Apt. C Blok D:6 Bakırköy, İstanbul",,02125832375,citybeauty@citybeauty.com.tr,http://www.citybeauty.com.tr,40.9782110000000,28.8712570000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,QLUA KALICI MAKYAJ,"Zeytinlik Mah. Halkçı Sok. 31 Bakırköy İşh. K:3 D:29 Bakırköy, İstanbul",Kalıcı Makyaj - İpek Kirpik ve Protez Tırnak Hizmeti,05308504014,qluakalicimakya@gmail.com,http://qluakalicimakyaj.com,40.9799180000000,28.8728310000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,BIODERMA ITALIANA ESTETICA,"Cevizlik Mah. Fahri Korutürk Cad. 22 Abbas Eroğlu İşh. K:4 Bakırköy, İstanbul",,02125707521,biodermaitalianaestetica@gmail.com,http://www.biodermaitalianaestetica.com,40.9795485016700,28.8741369827850
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,İMREN ÖZTÜRK BEAUTY CENTER- İMREN ÖZTÜRK GÜZELLİK MERKEZİ KUAFÖR VE SOLARYUM HİZMETLERİ LTD.ŞTİ.,"Zeytinlik Mah. Cumhuriyetçi Sok. 5 Bakırköy, İstanbul",,02126606579,imrenozturk5534@gmail.com,Veri yok,40.9785480000000,28.8709190000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,DERMART DERMATOLOJİ POLİKLİNİĞİ ESTETİK VE GÜZELLİK MERKEZİ,"Kartaltepe Mah. İncirli Cad. Faik Köksal Sok. 1 Bakırköy, İstanbul",Estetik Merkezleri,02126603232,info@dermart.com.tr,http://www.dermart.com.tr,40.9896140896190,28.8714469020830
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,ORION GÜZELLİK SALONU(Yeliz Hızlı),"Yeşilköy Mah. Sarı Yakup Sok. 30/1 Bakırköy, İstanbul",,02126639101,Veri yok,Veri yok,40.9614090000000,28.8216600000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,ŞEVVAL GÜZELLİK SALONU(Songül Demirci),"Kartaltepe Mah. İncirli Cad. 76 Bakırköy, İstanbul",,02125430870,Veri yok,Veri yok,40.9905770000000,28.8708580000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,DERMA CLEAN ESTETİK VE GÜZELLİK MERKEZİ,"Zuhuratbaba Mah. İncirli Cad. Gülderen Sok. 2/8 1. Yıldız Sit. 9/A Blok K:2 D:4 Bakırköy, İstanbul",,02125719214,info@dermaclean.com.tr,http://www.dermaclean.com.tr,40.9949800000000,28.8684970000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,MCYILL GÜZELLİK,"Zuhuratbaba Mah. Şükran Çiftliği Sok. 15 Ata Apt. K:1 D:8 Bakırköy, İstanbul",Kalıcı Makyaj - Lazer Epilasyon ve Cilt Bakımı,05426632778,Veri yok,Veri yok,40.9811170000000,28.8718050000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,TALİ ESTETİK BAKIRKÖY ŞUBESİ(İlkan Kabtan),"Zeytinlik Mah. Ömer Naci Sok. 3 Bakırköy, İstanbul",,02125428280,Veri yok,Veri yok,40.9778830000000,28.8742280000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,DERMOCLİNİCE YAŞAM MERKEZİ(Ahmet Belim),"Zeytinlik Mah. Ebuziya Cad. 50 Bakırköy, İstanbul",,02125711001,Veri yok,Veri yok,40.9758060000000,28.8751280000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,BELLEZA GÜZELLİK(Emine Canan Eren),"Zuhuratbaba Mah. Şükran Çiftliği Sok. 15 Ata Apt. D:9 Bakırköy, İstanbul",,02125436076,Veri yok,http://www.bellezaestetik.com,40.9811170000000,28.8718050000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,ZALİNA BEAUTY CENTER(Zalina Mamedova),"Yeşilköy Mah. Yeşil Yalı Sok. 4 D:2 Bakırköy, İstanbul",,02126630061,Veri yok,Veri yok,40.9588620000000,28.8232760000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,DR. MENİJE ESTETİK MERKEZİ- DR. MENİJE ESTETİK MERKEZİ LAZER EPİLASYON LTD.ŞTİ. (Köksal Tezcan),"Ataköy 1. Kısım Mah. Ataköy Sahil Yolu Galleria AVM Bakırköy, İstanbul",,02126610011,info@drmenije.com,http://www.drmenije.com,40.9744000000000,28.8701000000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,PRONAIL GÜZELLİK MERKEZİ CAPACITY AVM ŞUBESİ- ÇAĞDAŞ GRUP KOZMETİK VE MEDİKAL ÜRÜNLER SAN. VE TİC.A.Ş.,"Ataköy 1. Kısım Mah. Fişekhane Cad. 7 Capacity AVM K:Zemin Bakırköy, İstanbul",,02126615001,Veri yok,http://www.pronail.com.tr,40.9780620000000,28.8721680000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,VIDOL LUFFON- PAPATYA SOLARYUM SAN. VE TİC.LTD.ŞTİ. (Hikmet Alp),"Yeşilyurt Mah. Sipahioğlu Cad. 25 Bakırköy, İstanbul",,02126620485,Veri yok,Veri yok,40.9628160000000,28.8405940000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,FLOREST- FLOREST FLORYA LAZERLE EPİLASYON MEDİKAL ESTETİK VE SAĞLIK HİZMETLERİ LTD.ŞTİ.,"Şenlikköy Mah. Harman Sok. 33 Bakırköy, İstanbul",,02125737400,floryaestetik@hotmail.com,Veri yok,40.9740010000000,28.7970360000000
guzellik-salonlari-ve-merkezleri,istanbul,bakirkoy,PODICLINIC AYAK SAĞLIĞI MERKEZİ,"Ataköy 7. 8. 9. 10. Kısım Mah. Karanfil Sok. 2 Atrium AVM K:1 Dk:156 Bakırköy, İstanbul",Medikal Ayak Bakımı ve Podoloji Hizmeti,02125600260,zuleyha.akin@gmail.com,http://podiclinic.com,40.9887105072960,28.8455034921050
